Day,Team1,Team2
1,A2,A3
1,A4,A5
1,A6,A7
1,A9,A1
1,B1,B2
1,B3,B4
1,B5,B6
1,B7,A8
1,B8,B9
1,C3,C4
1,C7,C8
1,D1,C2
1,D2,D3
1,D4,C5
1,D5,C6
1,D6,D7
1,D8,C9
1,D9,C1
2,A1,A2
2,A3,A4
2,A5,A6
2,A7,B8
2,A8,A9
2,B2,B3
2,B4,D5
2,B6,B7
2,B9,B1
2,C1,D2
2,C2,C3
2,C4,B5
2,C5,D6
2,C6,C7
2,C8,D9
2,C9,D1
2,D3,D4
2,D7,D8
3,A1,C2
3,A2,B3
3,A3,C4
3,A6,D7
3,A7,C8
3,A8,B9
3,A9,C1
3,B2,D3
3,B4,C5
3,B5,D6
3,C3,A4
3,C6,B7
3,C7,B8
3,C9,B1
3,D1,D2
3,D4,A5
3,D5,B6
3,D8,D9
4,A4,B5
4,A5,C6
4,B6,C7
4,B7,D8
4,B8,C9
4,B9,A1
4,C1,A2
4,C2,B3
4,C3,D4
4,C4,D5
4,C5,A6
4,C8,A9
4,D1,B2
4,D2,A3
4,D3,B4
4,D6,A7
4,D7,A8
4,D9,B1
5,A5,D6
5,A6,B7
5,A7,D8
5,A9,D1
5,B1,A2
5,B2,A3
5,B3,C4
5,B4,B5
5,B8,D9
5,C1,C2
5,C5,B6
5,C6,D7
5,C7,A8
5,C8,B9
5,C9,A1
5,D2,C3
5,D3,A4
5,D4,D5
6,A1,B2
6,A2,C3
6,A3,B4
6,A4,C5
6,A8,C9
6,B1,D2
6,B3,D4
6,B5,C6
6,B6,A7
6,B7,B8
6,B9,C1
6,C2,D3
6,C4,A5
6,D5,A6
6,D6,C7
6,D7,C8
6,D8,A9
6,D9,D1
7,A4,D5
7,A5,B6
7,A6,C7
7,A7,A8
7,A9,B1
7,C1,B2
7,C2,A3
7,C3,B4
7,C5,C6
7,C8,C9
7,D1,A2
7,D2,B3
7,D3,C4
7,D4,B5
7,D6,B7
7,D7,B8
7,D8,B9
7,D9,A1
8,A1,D2
8,A2,D3
8,A3,D4
8,A8,D9
8,B1,C2
8,B2,C3
8,B3,A4
8,B4,A5
8,B5,A6
8,B6,D7
8,B7,C8
8,B8,A9
8,B9,D1
8,C4,C5
8,C6,A7
8,C7,D8
8,C9,C1
8,D5,D6
